stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
MARS1241692,41692,Giroux / D'argenteuil [41692] ,-73.717872,45.552337,0,0,0
JANV1241694,41694,Gravel / De La Place-Publique [41694] ,-73.821081,45.528284,0,0,0
MARS1241694,41694,Gravel / De La Place-Publique [41694] ,-73.821081,45.528284,0,0,0
JANV1241695,41695,Gravel / Gervais [41695] ,-73.813358,45.520828,0,0,0
MARS1241695,41695,Gravel / Gervais [41695] ,-73.813358,45.520828,0,0,0
JANV1241696,41696,Gravel / Des Pétunias [41696] ,-73.820323,45.52771,0,0,0
MARS1241696,41696,Gravel / Des Pétunias [41696] ,-73.820323,45.52771,0,0,0
JANV12CP41697,41697,Gravel / Samson [41697] ,-73.817478,45.524955,0,0,0
MARS12CP41697,41697,Gravel / Samson [41697] ,-73.817478,45.524955,0,0,0
JANV1241698,41698,Gravel / Des Orchidées [41698] ,-73.819433,45.526642,0,0,0
MARS1241698,41698,Gravel / Des Orchidées [41698] ,-73.819433,45.526642,0,0,0
JANV1241699,41699,Gravel / Des Orchidées [41699] ,-73.81919,45.526606,0,0,0
MARS1241699,41699,Gravel / Des Orchidées [41699] ,-73.81919,45.526606,0,0,0
JANV12CP41700,41700,Gravel / Samson [41700] ,-73.817168,45.524425,0,0,0
MARS12CP41700,41700,Gravel / Samson [41700] ,-73.817168,45.524425,0,0,0
JANV12CP41701,41701,Gravel / Samson [41701] ,-73.816692,45.524157,0,0,0
MARS12CP41701,41701,Gravel / Samson [41701] ,-73.816692,45.524157,0,0,0
JANV1241702,41702,Gravel / Mandel [41702] ,-73.815314,45.522586,0,0,0
MARS1241702,41702,Gravel / Mandel [41702] ,-73.815314,45.522586,0,0,0
JANV1241703,41703,Gravel / Mandel [41703] ,-73.815006,45.522479,0,0,0
MARS1241703,41703,Gravel / Mandel [41703] ,-73.815006,45.522479,0,0,0
JANV1241704,41704,Gravel / Du Bord-De-L'eau [41704] ,-73.813357,45.52063,0,0,0
MARS1241704,41704,Gravel / Du Bord-De-L'eau [41704] ,-73.813357,45.52063,0,0,0
JANV12CP41705,41705,De L'harmonie / Marcel-Villeneuve [41705] ,-73.594313,45.673028,0,0,0
MARS12CP41705,41705,De L'harmonie / Marcel-Villeneuve [41705] ,-73.594313,45.673028,0,0,0
JANV1241706,41706,Henri-Bourassa / Du Fort-Lorette [41706] ,-73.659742,45.567262,0,0,0
MARS1241706,41706,Henri-Bourassa / Du Fort-Lorette [41706] ,-73.659742,45.567262,0,0,0
JANV1241707,41707,Henri-Bourassa / Du Fort-Lorette [41707] ,-73.660127,45.567496,0,0,0
MARS1241707,41707,Henri-Bourassa / Du Fort-Lorette [41707] ,-73.660127,45.567496,0,0,0
JANV1241708,41708,Henri-Bourassa / Du Bois-De-Boulogne [41708] ,-73.679031,45.537638,0,0,0
MARS1241708,41708,Henri-Bourassa / Du Bois-De-Boulogne [41708] ,-73.679031,45.537638,0,0,0
JANV1241709,41709,Henri-Bourassa / Du Bois-De-Boulogne [41709] ,-73.678481,45.537792,0,0,0
MARS1241709,41709,Henri-Bourassa / Du Bois-De-Boulogne [41709] ,-73.678481,45.537792,0,0,0
JANV1241710,41710,De L'harmonie / Face Au 1360 [41710] ,-73.591833,45.671078,0,0,0
MARS1241710,41710,De L'harmonie / Face Au 1360 [41710] ,-73.591833,45.671078,0,0,0
JANV1241711,41711,De L'harmonie / Face Au 1360 [41711] ,-73.592154,45.671123,0,0,0
MARS1241711,41711,De L'harmonie / Face Au 1360 [41711] ,-73.592154,45.671123,0,0,0
JANV12CP41712,41712,De L'harmonie / Marcel-Villeneuve [41712] ,-73.594326,45.673244,0,0,0
MARS12CP41712,41712,De L'harmonie / Marcel-Villeneuve [41712] ,-73.594326,45.673244,0,0,0
JANV1241713,41713,De L'hôtel-De-Ville / Samson [41713] ,-73.812762,45.526399,0,0,0
MARS1241713,41713,De L'hôtel-De-Ville / Samson [41713] ,-73.812762,45.526399,0,0,0
JANV1241714,41714,De L'hôtel-De-Ville / Sainte-Dorothée [41714] ,-73.812822,45.52801,0,0,0
MARS1241714,41714,De L'hôtel-De-Ville / Sainte-Dorothée [41714] ,-73.812822,45.52801,0,0,0
JANV1241715,41715,De L'hôtel-De-Ville / Sainte-Dorothée [41715] ,-73.81322,45.528144,0,0,0
MARS1241715,41715,De L'hôtel-De-Ville / Sainte-Dorothée [41715] ,-73.81322,45.528144,0,0,0
JANV1241716,41716,De L'hôtel-De-Ville / Principale [41716] ,-73.816229,45.530583,0,0,0
MARS1241716,41716,De L'hôtel-De-Ville / Principale [41716] ,-73.816229,45.530583,0,0,0
JANV1241717,41717,De L'hôtel-De-Ville / Principale [41717] ,-73.815358,45.530423,0,0,0
MARS1241717,41717,De L'hôtel-De-Ville / Principale [41717] ,-73.815358,45.530423,0,0,0
JANV1241722,41722,Des îles / Lévesque [41722] ,-73.761412,45.526069,0,0,0
MARS1241722,41722,Des îles / Lévesque [41722] ,-73.761412,45.526069,0,0,0
JANV1241724,41724,Des îles / Des Cageux [41724] ,-73.750676,45.526975,0,0,0
MARS1241724,41724,Des îles / Des Cageux [41724] ,-73.750676,45.526975,0,0,0
JANV12CP41727,41727,Des îles / Lévesque [41727] ,-73.750481,45.529396,0,0,1
MARS12CP41727,41727,Des îles / Lévesque [41727] ,-73.750481,45.529396,0,0,1
JANV1241730,41730,Des îles / Lévesque [41730] ,-73.761282,45.525647,0,0,0
MARS1241730,41730,Des îles / Lévesque [41730] ,-73.761282,45.525647,0,0,0
JANV1241731,41731,Des îles / Duclos [41731] ,-73.759599,45.524364,0,0,0
MARS1241731,41731,Des îles / Duclos [41731] ,-73.759599,45.524364,0,0,0
JANV1241732,41732,Des îles / Duclos [41732] ,-73.760086,45.524453,0,0,0
MARS1241732,41732,Des îles / Duclos [41732] ,-73.760086,45.524453,0,0,0
JANV1241734,41734,Du Tremblay / Des îles [41734] ,-73.7575575,45.5236339,0,0,0
MARS1241734,41734,Du Tremblay / Des îles [41734] ,-73.7575575,45.5236339,0,0,0
JANV1241738,41738,Industriel / Saint-Martin [41738] ,-73.721846,45.572648,0,0,1
JANV12CP41738,41738,Industriel / Saint-Martin [41738] ,-73.721846,45.572648,0,0,1
MARS1241738,41738,Industriel / Saint-Martin [41738] ,-73.721846,45.572648,0,0,1
MARS12CP41738,41738,Industriel / Saint-Martin [41738] ,-73.721846,45.572648,0,0,1
JANV1241739,41739,Industriel / Saint-Elzéar [41739] ,-73.742022,45.589847,0,0,0
MARS1241739,41739,Industriel / Saint-Elzéar [41739] ,-73.742022,45.589847,0,0,0
JANV1241740,41740,Industriel / Michelin [41740] ,-73.74439,45.591957,0,0,1
MARS1241740,41740,Industriel / Michelin [41740] ,-73.74439,45.591957,0,0,1
JANV12CP41741,41741,Industriel / Saint-Martin [41741] ,-73.721985,45.572143,0,0,1
MARS12CP41741,41741,Industriel / Saint-Martin [41741] ,-73.721985,45.572143,0,0,1
JANV1241742,41742,Industrtiel / Salaberry [41742] ,-73.72384,45.57465,0,0,0
